Year-Month,CA_Population
2006-01,36457549
2006-02,36457549
2006-03,36457549
2006-04,36457549
2006-05,36457549
2006-06,36457549
2006-07,36457549
2006-08,36457549
2006-09,36457549
2006-10,36457549
2006-11,36457549
2006-12,36457549
2007-01,36553215
2007-02,36553215
2007-03,36553215
2007-04,36553215
2007-05,36553215
2007-06,36553215
2007-07,36553215
2007-08,36553215
2007-09,36553215
2007-10,36553215
2007-11,36553215
2007-12,36553215
2008-01,36756666
2008-02,36756666
2008-03,36756666
2008-04,36756666
2008-05,36756666
2008-06,36756666
2008-07,36756666
2008-08,36756666
2008-09,36756666
2008-10,36756666
2008-11,36756666
2008-12,36756666
2009-01,36961664
2009-02,36961664
2009-03,36961664
2009-04,36961664
2009-05,36961664
2009-06,36961664
2009-07,36961664
2009-08,36961664
2009-09,36961664
2009-10,36961664
2009-11,36961664
2009-12,36961664
2010-01,37253956
2010-02,37253956
2010-03,37253956
2010-04,37253956
2010-05,37253956
2010-06,37253956
2010-07,37253956
2010-08,37253956
2010-09,37253956
2010-10,37253956
2010-11,37253956
2010-12,37253956
2011-01,37427946
2011-02,37427946
2011-03,37427946
2011-04,37427946
2011-05,37427946
2011-06,37427946
2011-07,37427946
2011-08,37427946
2011-09,37427946
2011-10,37427946
2011-11,37427946
2011-12,37427946
2012-01,37678563
2012-02,37678563
2012-03,37678563
2012-04,37678563
2012-05,37678563
2012-06,37678563
2012-07,37678563
2012-08,37678563
2012-09,37678563
2012-10,37678563
2012-11,37678563
2012-12,37678563
2013-01,37998298
2013-02,37998298
2013-03,37998298
2013-04,37998298
2013-05,37998298
2013-06,37998298
2013-07,37998298
2013-08,37998298
2013-09,37998298
2013-10,37998298
2013-11,37998298
2013-12,37998298
2014-01,38355016
2014-02,38355016
2014-03,38355016
2014-04,38355016
2014-05,38355016
2014-06,38355016
2014-07,38355016
2014-08,38355016
2014-09,38355016
2014-10,38355016
2014-11,38355016
2014-12,38355016
2015-01,38715000
2015-02,38715000
2015-03,38715000
2015-04,38715000
2015-05,38715000
2015-06,38715000
2015-07,38715000
2015-08,38715000
2015-09,38715000
2015-10,38715000
2015-11,38715000
2015-12,38715000
2016-01,39140000
2016-02,39140000
2016-03,39140000
2016-04,39140000
2016-05,39140000
2016-06,39140000
2016-07,39140000
2016-08,39140000
2016-09,39140000
2016-10,39140000
2016-11,39140000
2016-12,39140000
