Year-Month,CA_MVT_Count
2006-01,23514
2006-02,19707
2006-03,21883
2006-04,20677
2006-05,20473
2006-06,19014
2006-07,19843
2006-08,20065
2006-09,18465
2006-10,19750
2006-11,19799
2006-12,20465
2007-01,20153
2007-02,17799
2007-03,18172
2007-04,18568
2007-05,18856
2007-06,17919
2007-07,18152
2007-08,18562
2007-09,17489
2007-10,18965
2007-11,17214
2007-12,18274
2008-01,18586
2008-02,15871
2008-03,16781
2008-04,16255
2008-05,15762
2008-06,15369
2008-07,16221
2008-08,15726
2008-09,15690
2008-10,15596
2008-11,14981
2008-12,15691
2009-01,15107
2009-02,12901
2009-03,14536
2009-04,13622
2009-05,13920
2009-06,13730
2009-07,13636
2009-08,13392
2009-09,12288
2009-10,13140
2009-11,13503
2009-12,13781
2010-01,13761
2010-02,12622
2010-03,13266
2010-04,12337
2010-05,12332
2010-06,11939
2010-07,12726
2010-08,13034
2010-09,12173
2010-10,12361
2010-11,12420
2010-12,13529
2011-01,12911
2011-02,10463
2011-03,11803
2011-04,11448
2011-05,12278
2011-06,11688
2011-07,12138
2011-08,12535
2011-09,11947
2011-10,12678
2011-11,13242
2011-12,13641
2012-01,14256
2012-02,12152
2012-03,12728
2012-04,12782
2012-05,13538
2012-06,13305
2012-07,14361
2012-08,14141
2012-09,13900
2012-10,15627
2012-11,15453
2012-12,16299
2013-01,15686
2013-02,12872
2013-03,13374
2013-04,13025
2013-05,13298
2013-06,13203
2013-07,13951
2013-08,13991
2013-09,13860
2013-10,14386
2013-11,13853
2013-12,13763
2014-01,13751
2014-02,11524
2014-03,12063
2014-04,12140
2014-05,12369
2014-06,12824
2014-07,13202
2014-08,12259
2014-09,11875
2014-10,12503
2014-11,12573
2014-12,14743
2015-01,14076
2015-02,12184
2015-03,13818
2015-04,13513
2015-05,13990
2015-06,14083
2015-07,14524
2015-08,14541
2015-09,14530
2015-10,14960
2015-11,14954
2015-12,15646
2016-01,16276
2016-02,13678
2016-03,14170
2016-04,13951
2016-05,14672
2016-06,13745
2016-07,14486
2016-08,15360
2016-09,14184
2016-10,15480
2016-11,15376
2016-12,15328
