Year-Month,CA_MVT_Rate
2006-01,64.7
2006-02,54.22
2006-03,60.21
2006-04,56.89
2006-05,56.33
2006-06,52.32
2006-07,54.43
2006-08,55.04
2006-09,50.65
2006-10,54.17
2006-11,54.31
2006-12,56.13
2007-01,55.13
2007-02,48.69
2007-03,49.71
2007-04,50.8
2007-05,51.59
2007-06,49.02
2007-07,49.66
2007-08,50.78
2007-09,47.85
2007-10,51.88
2007-11,47.09
2007-12,49.99
2008-01,50.56
2008-02,43.18
2008-03,45.65
2008-04,44.22
2008-05,42.88
2008-06,41.81
2008-07,44.13
2008-08,42.79
2008-09,42.69
2008-10,42.43
2008-11,40.76
2008-12,42.69
2009-01,40.88
2009-02,34.91
2009-03,39.34
2009-04,36.87
2009-05,37.67
2009-06,37.23
2009-07,37.03
2009-08,36.36
2009-09,33.36
2009-10,35.67
2009-11,36.65
2009-12,37.43
2010-01,36.94
2010-02,33.88
2010-03,35.61
2010-04,33.12
2010-05,33.1
2010-06,32.07
2010-07,34.18
2010-08,35
2010-09,32.69
2010-10,33.2
2010-11,33.38
2010-12,36.36
2011-01,34.36
2011-02,27.85
2011-03,31.41
2011-04,30.47
2011-05,32.68
2011-06,31.11
2011-07,32.22
2011-08,33.28
2011-09,31.72
2011-10,33.66
2011-11,35.15
2011-12,36.21
2012-01,37.49
2012-02,31.96
2012-03,33.47
2012-04,33.62
2012-05,35.6
2012-06,34.99
2012-07,37.77
2012-08,37.19
2012-09,36.56
2012-10,41.1
2012-11,40.64
2012-12,42.86
2013-01,40.93
2013-02,33.59
2013-03,34.9
2013-04,33.99
2013-05,34.7
2013-06,34.45
2013-07,36.4
2013-08,36.51
2013-09,36.16
2013-10,37.54
2013-11,36.15
2013-12,35.91
2014-01,35.44
2014-02,29.7
2014-03,31.09
2014-04,31.29
2014-05,31.88
2014-06,33.06
2014-07,34.03
2014-08,31.6
2014-09,30.61
2014-10,32.23
2014-11,32.41
2014-12,38
2015-01,35.97
2015-02,31.13
2015-03,35.31
2015-04,34.53
2015-05,35.75
2015-06,35.98
2015-07,37.11
2015-08,37.15
2015-09,37.17
2015-10,38.27
2015-11,38.36
2015-12,40.02
2016-01,41.48
2016-02,34.85
2016-03,36.11
2016-04,35.55
2016-05,37.39
2016-06,35.03
2016-07,36.91
2016-08,39.14
2016-09,36.17
2016-10,39.48
2016-11,39.21
2016-12,39.09
