Year-Month,TX_MVT_Rate
2006-01,32.87
2006-02,28.4
2006-03,31.97
2006-04,32.9
2006-05,35.01
2006-06,33.32
2006-07,37.08
2006-08,36.78
2006-09,33.97
2006-10,36.13
2006-11,33.66
2006-12,34.21
2007-01,33.88
2007-02,28.64
2007-03,33.63
2007-04,33.01
2007-05,35.47
2007-06,34.6
2007-07,34.98
2007-08,35.82
2007-09,33.41
2007-10,31.3
2007-11,28.92
2007-12,29.77
2008-01,30.44
2008-02,25.63
2008-03,29.02
2008-04,27.94
2008-05,30.43
2008-06,30.47
2008-07,31.95
2008-08,34.07
2008-09,28.46
2008-10,28.97
2008-11,26.64
2008-12,27.12
2009-01,26.45
2009-02,21.45
2009-03,26.53
2009-04,25.3
2009-05,26.54
2009-06,27.01
2009-07,27.77
2009-08,27.94
2009-09,26.42
2009-10,26.21
2009-11,23.73
2009-12,23.61
2010-01,23.71
2010-02,19.69
2010-03,23.52
2010-04,23.06
2010-05,23.42
2010-06,22.83
2010-07,24.78
2010-08,23.81
2010-09,21.86
2010-10,22.16
2010-11,21.48
2010-12,20.22
2011-01,19.28
2011-02,16
2011-03,20.07
2011-04,20.19
2011-05,22.15
2011-06,22.21
2011-07,22.28
2011-08,21.95
2011-09,20.85
2011-10,22.27
2011-11,21.26
2011-12,20.7
2012-01,20.23
2012-02,17.29
2012-03,19.39
2012-04,19.94
2012-05,21.6
2012-06,21.69
2012-07,23.29
2012-08,22.82
2012-09,20.97
2012-10,22.08
2012-11,20.26
2012-12,20.6
2013-01,21.97
2013-02,17.36
2013-03,19.2
2013-04,19.55
2013-05,20.44
2013-06,21.49
2013-07,22.56
2013-08,21.83
2013-09,20.61
2013-10,21.68
2013-11,20.36
2013-12,22.16
2014-01,22.25
2014-02,18.61
2014-03,20.46
2014-04,19.74
2014-05,21.19
2014-06,21.32
2014-07,22.64
2014-08,22.16
2014-09,21.16
2014-10,22.01
2014-11,21.29
2014-12,21.55
2015-01,21.31
2015-02,16.89
2015-03,19.24
2015-04,19.73
2015-05,20.81
2015-06,21.71
2015-07,23.23
2015-08,21.69
2015-09,20.12
2015-10,20.99
2015-11,19.66
2015-12,20.83
2016-01,20.53
2016-02,17.64
2016-03,19.1
2016-04,19.99
2016-05,21.1
2016-06,21.3
2016-07,22.33
2016-08,21.9
2016-09,20.41
2016-10,21.17
2016-11,21.28
2016-12,21.4
